time_s,max_C,argmax_index,argmax_coordinate_cm,argmax_xi,center_C,surface_C,event_value
59203.0,0.15052371490812647,0,0.0,0.0,0.15052371490812647,0.11312948811542962,0.0005237149081264714
59204.0,0.15051740211755105,0,0.0,0.0,0.15051740211755105,0.11312558904641634,0.0005174021175510524
59205.0,0.15051108972326582,0,0.0,0.0,0.15051108972326582,0.11312169021388617,0.0005110897232658285
59206.0,0.15050477772524587,0,0.0,0.0,0.15050477772524587,0.1131177916178253,0.0005047777252458752
59207.0,0.15049846612346637,0,0.0,0.0,0.15049846612346637,0.11311389325821994,0.000498466123466379
59208.0,0.15049215491790238,0,0.0,0.0,0.15049215491790238,0.11310999513505629,0.0004921549179023876
59209.0,0.1504858441085291,0,0.0,0.0,0.1504858441085291,0.11310609724832056,0.0004858441085291154
59210.0,0.1504795336953216,0,0.0,0.0,0.1504795336953216,0.11310219959799894,0.00047953369532161005
59211.0,0.15047322367825505,0,0.0,0.0,0.15047322367825505,0.11309830218407765,0.00047322367825505807
59212.0,0.15046691405730458,0,0.0,0.0,0.15046691405730458,0.1130944050065429,0.00046691405730459046
59213.0,0.15046060483244528,0,0.0,0.0,0.15046060483244528,0.11309050806538087,0.0004606048324452827
59214.0,0.15045429600365232,0,0.0,0.0,0.15045429600365232,0.11308661136057781,0.00045429600365232137
59215.0,0.15044798757090083,0,0.0,0.0,0.15044798757090083,0.11308271489211988,0.0004479875709008374
59216.0,0.15044167953416596,0,0.0,0.0,0.15044167953416596,0.11307881865999332,0.00044167953416596184
59217.0,0.15043537189342282,0,0.0,0.0,0.15043537189342282,0.11307492266418434,0.0004353718934228257
59218.0,0.15042906464864658,0,0.0,0.0,0.15042906464864658,0.11307102690467913,0.00042906464864658767
59219.0,0.15042275779981235,0,0.0,0.0,0.15042275779981235,0.11306713138146392,0.00042275779981235106
59220.0,0.1504164513468953,0,0.0,0.0,0.1504164513468953,0.11306323609452491,0.0004164513468953024
59221.0,0.15041014528987057,0,0.0,0.0,0.15041014528987057,0.11305934104384834,0.00041014528987057264
59222.0,0.15040383962871332,0,0.0,0.0,0.15040383962871332,0.11305544622942038,0.0004038396287133206
59223.0,0.15039753436339864,0,0.0,0.0,0.15039753436339864,0.11305155165122727,0.00039753436339864945
59224.0,0.15039122949390177,0,0.0,0.0,0.15039122949390177,0.11304765730925523,0.00039122949390177353
59225.0,0.1503849250201978,0,0.0,0.0,0.1503849250201978,0.11304376320349045,0.00038492502019779606
59226.0,0.1503786209422619,0,0.0,0.0,0.1503786209422619,0.11303986933391919,0.00037862094226190357
59227.0,0.15037231726006922,0,0.0,0.0,0.15037231726006922,0.11303597570052762,0.00037231726006922705
59228.0,0.15036601397359492,0,0.0,0.0,0.15036601397359492,0.11303208230330197,0.00036601397359492527
59229.0,0.15035971108281415,0,0.0,0.0,0.15035971108281415,0.11302818914222848,0.000359711082814157
59230.0,0.1503534085877021,0,0.0,0.0,0.1503534085877021,0.11302429621729336,0.0003534085877021087
59231.0,0.1503471064882339,0,0.0,0.0,0.1503471064882339,0.11302040352848282,0.00034710648823391144
